EstacaoCodigo,Dia,Mês,Ano,Nome,Vazão,Latitude,Longitude,MediaVazãoAno,MaximaVazãoAnual,MinimoVazãoAnual,MediaDiasVazãoAno,MaximaDiasVazãoAno,MinimaDiasVazãoAno
37320000,6,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,7,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,8,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,9,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,10,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,11,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,12,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,13,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,14,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,15,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,16,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,17,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,18,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,19,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,20,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,21,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,22,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,23,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,24,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,25,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,26,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,27,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,28,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,29,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,30,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,31,7,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,1,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,2,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,3,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,4,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,5,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,6,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,7,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,8,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,9,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,10,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,11,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,12,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,13,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,14,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,15,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,16,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,17,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,18,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,19,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
37320000,20,6,2022,POMBINHO,,-7.4364,-38.3189,,,,0,0,0
